city,latitude,longitude,temperature,feels_like,humidity,pressure,wind_speed,cloudiness
narsaq,60.92,-46.05,30.2,24.53,86,975,2.44,100
mataura,-46.19,168.86,55.99,50.72,71,1022,8.01,95
bluff,-46.6,168.33,55.99,50.72,71,1022,8.01,77
rikitea,-23.12,-134.97,73.09,69.93,78,1017,15.66,89
ushuaia,-54.8,-68.3,41.0,19.02,65,1008,32.21,75
oranjemund,-28.55,16.43,58.05,50.58,77,1023,13.85,3
castro,-24.79,-50.01,62.71,60.57,77,1016,6.78,63
port hardy,50.7,-127.42,38.12,31.37,67,1023,4.7,40
naberera,-4.2,36.93,63.0,61.72,86,1017,7.27,75
yellowknife,62.46,-114.35,28.4,15.22,79,1008,14.99,75
whitehorse,60.72,-135.05,32.0,13.96,94,996,25.28,75
albany,42.6,-73.97,46.0,43.47,93,1028,2.06,1
avarua,-21.21,-159.78,77.0,80.22,73,1011,5.82,86
kutum,14.2,24.67,60.66,53.73,37,1017,6.55,47
vardo,70.37,31.11,30.2,23.45,92,999,4.7,75
alofi,-19.06,-169.92,78.8,78.51,74,1010,13.87,75
warkworth,-36.4,174.67,59.02,57.29,82,1005,5.01,97
chuy,-33.7,-53.46,58.62,56.37,89,1021,6.98,68
saint-philippe,-21.36,55.77,74.1,76.08,65,1020,3.36,0
sambava,-14.27,50.17,75.2,74.57,78,1018,12.8,100
barrow,71.29,-156.79,15.8,-3.57,78,1010,24.16,90
bereda,43.27,-7.54,53.33,50.97,93,1017,5.01,51
punta arenas,-53.15,-70.92,41.0,29.25,75,1014,14.99,0
puerto ayora,-0.74,-90.35,68.0,70.74,88,1014,4.0,15
nanortalik,60.14,-45.24,27.46,10.33,93,975,22.62,100
pisco,-13.7,-76.22,62.35,63.27,88,1016,3.36,41
milkovo,54.72,158.62,25.48,20.21,86,1001,0.83,24
kysyl-syr,63.9,122.76,-2.22,-10.73,89,1020,3.6,0
shelburne,44.08,-80.2,50.52,47.89,87,1026,3.36,1
port macquarie,-31.43,152.92,70.52,70.16,49,1022,1.01,6
codrington,-38.27,141.97,76.93,76.44,59,1019,7.7,66
lagoa,39.05,-27.98,61.21,53.11,63,1021,13.82,97
usinsk,65.99,57.53,26.64,14.56,98,989,13.73,100
dongsheng,39.82,109.98,44.1,37.74,51,1026,3.78,0
hermanus,-34.42,19.23,45.0,38.71,92,1027,8.23,53
san quintin,30.48,-115.95,61.09,51.84,61,1013,15.43,25
abu kamal,34.45,40.92,61.29,57.96,50,1019,2.86,45
kawit,14.45,120.9,84.15,92.7,83,1010,6.93,75
lavrentiya,65.58,-171.0,27.18,18.43,95,1008,7.78,84
maniitsoq,65.42,-52.9,18.86,-2.27,83,998,27.83,99
cape town,-33.93,18.42,48.94,45.73,75,1026,2.24,40
mackay,-21.15,149.2,76.21,68.54,65,1017,21.92,90
bambous virieux,-20.34,57.76,76.03,77.63,88,1022,12.75,75
hobart,-42.88,147.33,75.02,68.45,33,1022,9.17,0
sidi ali,36.1,0.42,59.77,60.71,92,1021,2.53,80
oskemen,49.96,82.61,35.6,24.73,93,1019,13.42,90
busselton,-33.65,115.33,62.15,53.24,72,996,17.49,99
saint-augustin,51.23,-58.65,28.54,19.63,77,1023,7.34,99
yinchuan,38.47,106.27,52.65,45.9,38,1022,4.61,0
ardooie,50.98,3.2,51.03,49.82,94,1020,1.99,97
pizhanka,57.46,48.54,31.98,20.25,93,1009,14.05,87
nikolskoye,59.7,30.79,31.06,23.29,92,1022,6.71,0
